DMA_CONDITION,DMA_NAME,GP,GR,FP,FR,WebSales,WebOrders,POPN
1,"Anchorage, AK",0.064503633,0.033899038,0.052581649,0.024490155,0.830203411,0.692140453,142000
1,"Buffalo, NY",0.10780599,0.031526051,0.003132433,0.062739986,1.074216147,1.16365793,586930
1,"Denver, CO",0.058356565,0.035136121,0.00201995,0.069866393,0.948107961,1.050046958,1585270
1,"El Paso, TX",0.089767537,0.028045013,0.00716592,0.053171249,0.904928945,1.033579945,338770
1,"Lafayette, LA",0.142589601,0.056387959,0.005185108,0.057503059,1.612722279,1.275564766,216420
1,"Las Vegas, NV",0.077135372,0.04999535,0.003419496,0.074033328,0.88125329,0.830780748,766500
1,"Peoria-Bloomington, IL",0.102128032,0.036156377,0.003274098,0.055198171,0.602474201,0.834276439,234050
1,"Twin Falls, ID",0.108507129,0.02921059,0.003818931,0.072871218,0.785125036,1.00285366,59990
1,"Wheeling, WV-Steubenville, OH",0.178695268,0.015497278,0.003947182,0.040283909,1.556998586,1.329145963,113690
1,"Wichita-Hutchinson, KS",0.093940143,0.069537705,0.004642202,0.05565232,1.017035607,1.208533037,382780
10,"Abilene-Sweetwater, TX",0.095636635,0.40196635,0.003979832,0.716656922,0.682878545,0.862778958,104440
10,"Biloxi-Gulfport, MS",0.116541452,0.389679716,0.005603802,0.74731051,0.733073401,0.96535379,122100
10,"Chattanooga, TN",0.102587506,0.45874855,0.004425288,0.853222392,1.253687866,1.282572688,341190
10,"Dayton, OH",0.094550788,0.487198332,0.003214518,0.842289834,0.66967889,0.812056153,463430
10,"Eugene, OR",0.067181445,0.388067669,0.00284648,0.733334156,0.966796946,0.948187868,215070
10,"Greenville-New Bern-Washington, NC",0.116258981,0.39234801,0.00296414,0.786320417,0.535922612,0.737676009,261830
10,"Memphis, TN",0.107325054,0.431363965,0.005354388,0.855849384,0.795201258,0.898040359,623390
10,"Meridian, MS",0.137572367,0.416409302,0.006657967,0.817463722,0.904247627,1.639280021,59030
10,"Oklahoma City, OK",0.097174307,0.440981771,0.003553676,0.863417879,0.782364184,0.915060788,676720
10,"Orlando-Daytona Beach-Melbourne, FL",0.08503024,0.421742604,0.002550523,0.861262579,0.986666507,0.994537172,1565890
10,"Parkersburg, WV",0.086865788,0.355118804,0.004164927,0.858277003,0.553996073,0.948440583,53750
11,"Albany-Schenectady-Troy, NY",0.359204162,0.370647481,0.003010654,0.064200335,0.94997081,1.044497004,520540
11,"Baltimore, MD",0.34302169,0.46409427,0.001883053,0.070638034,0.971526547,1.126569036,1084180
11,"Billings, MT",0.357757075,0.51739249,0.002821873,0.06174427,0.994683099,0.998936263,100330
11,"Burlington, VT-Plattsburgh, NY",0.350492976,0.479073194,0.002744008,0.052999439,0.774569418,0.953581183,294260
11,"Green Bay-Appleton, WI",0.361218095,0.472592448,0.002868875,0.054425811,0.884468616,1.127504795,421480
11,"Johnstown-Altoona, PA",0.357348869,0.443388219,0.003409902,0.047758699,0.694405264,0.952589492,262840
11,"La Crosse-Eau Claire, WI",0.370591818,0.540840381,0.002589216,0.052789836,0.808437034,1.130056865,186870
11,"Laredo, TX",0.346755263,0.538188686,0.025285518,0.051945245,1.688496422,1.229460016,70220
11,"Odessa-Midland, TX",0.37858187,0.549164305,0.002930391,0.051973702,0.615739715,0.816152181,150430
11,"Sacramento-Stockton-Modesto, CA",0.348973844,0.466266464,0.00272299,0.063860228,0.882422541,0.963183183,1357690
12,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",0.116918578,0.800032255,0.425993598,0.471316734,1.089358004,1.231503439,805920
12,"Lafayette, IN",0.567255753,0.830410693,0.003456212,0.395640951,1.247595122,1.408894721,63660
12,"Little Rock-Pine Bluff, AR",0.696071118,0.80869351,0.004776469,0.375817209,0.849770365,1.010889346,527090
12,"Madison, WI",0.770912954,0.899848932,0.002273055,0.450786346,0.91091711,1.180281615,338240
12,"Minneapolis-St. Paul, MN",0.661629962,0.858617242,0.00206417,0.433005535,0.968075955,1.086003254,1713310
12,"Monterey-Salinas, CA",0.688180194,1.003086121,0.003433304,0.432724268,0.806475617,1.034007398,206300
12,"Savannah, GA",0.643880347,0.7859845,0.003432488,0.400240688,0.734972436,0.880636476,303390
12,"Sioux Falls(Mitchell), SD",0.754215727,0.855018136,0.00334714,0.423806809,1.061640563,1.153148704,231540
12,"Topeka, KS",0.668063614,0.834932749,0.003693214,0.446073585,0.785812538,0.885211211,151860
12,"Yuma, AZ-El Centro, CA",0.650477352,0.951572111,0.011047574,0.392441002,0.774792595,1.039771899,101040
13,"Binghamton, NY",0.091803789,0.792819327,0.412644997,0.481352916,0.827369006,0.798258097,115960
13,"Davenport,IA-Rock Island-Moline,IL",0.110174182,0.876676017,0.412391725,0.454596806,0.970654606,1.114710414,280420
13,"Greensboro-High Point-Winston Salem, NC",0.119625735,0.828119576,0.417821006,0.436612696,0.89694138,0.958562046,675130
13,"Idaho Falls-Pocatello, ID",0.069503442,0.96859273,0.503434887,0.529120593,0.948098105,1.400033748,115750
13,"Jackson, TN",0.14682003,0.501008686,0.398218587,0.452201872,0.879050493,1.672065621,83010
13,"Los Angeles, CA",0.065309063,0.795882461,0.543661066,0.449057769,1.042387405,1.080589654,5276600
13,"Medford-Klamath Falls, OR",0.066961553,0.775307878,0.434977985,0.419207227,0.893514413,1.202138682,156520
13,"Tulsa, OK",0.098214408,0.95781097,0.436663932,0.43872979,0.934459794,1.152179672,508550
13,"Tyler-Longview(Lufkin & Nacogdoches), TX",0.102364296,0.749665817,0.416736783,0.427209964,1.186258143,1.30769838,232180
13,"West Palm Beach-Ft. Pierce, FL",0.714065248,0.777256265,0.509322188,0.446753473,1.045787116,1.160610255,829880
14,"Alpena, MI",0.377876227,0.904919959,0.394378714,0.081036015,1.399980158,1.770422422,14430
14,"Bluefield-Beckley-Oak Hill, WV",0.441973209,1.134940986,0.352834615,0.043683136,0.614076279,0.71876124,109900
14,"Cheyenne, WY-Scottsbluff, NE",0.450698547,0.951110039,7.27990444,0.051,0.983400064,1.055536404,51200
14,"Dallas-Ft. Worth, TX",0.366539508,1.146423953,0.516374824,0.069895008,1.010984219,1.095146548,2622070
14,"Duluth, MN-Superior, WI",0.360233189,1.005386148,0.44738659,0.048003905,0.628456057,0.771425892,148870
14,"Evansville, IN",0.40339393,1.050991229,0.424450914,0.054227234,0.648499477,0.849062985,265790
14,"Flint-Saginaw-Bay City, MI",0.395085402,1.075447691,0.435172466,0.05185282,0.899021829,0.983568012,430660
14,"Fresno-Visalia, CA",0.3239287,1.061603955,0.471578108,0.054608046,0.801974373,0.957909717,568920
14,"Milwaukee, WI",0.373947319,1.095356679,0.474534877,0.059216966,0.768435518,0.972441678,848420
